pile	pila (f) (6,11)
pilgrimage	peregrinación (f)
pillar	pilar (m)
pillow	almohada (f)
pilot	piloto (m)
pimiento	pimentón
pimp	chulo (m), golfo (m)
pimple	espinilla (f)
pin	clavado (m), clavada (f)
pin	clavar
pince-nez	quevedos "m pl"
pinch	aprieto (m)
pinch	pellizcar
pinch	pellizcar
pinch	pellizco (m)
pinch	pizca (f)
pine	pino (m)
pineapple	piña (f), ananás (m)
pineapple	piña (f), ananás (m)
ping pong	tenis de mesa (m)
pink	rosado
pink	rosado, rosa
pintail	pato (m)
pip	pipa (f)
pipe	tuberia (f) (1), pipa (f) (2)
pipit	bisbita (f)
piranha	piraña (f)
pirate	pirata (m)
pirate	pirata (m)
pirate	pirata (m)
piss	meado (m), orina (f)
piss	mear, orinar, empapar de meado
pistol	pistola (f)
pit	foso (m)
pitch	pez (f)
pitcher	lanzador (m), lanzadora (f)
pitiful	lamentable
pity	lástima (f)
pity	piedad (f)
pixel	píxel (m)
pizza	pizza (f)
place	plaza (f)
place mat	salvamanteles (m)
plague	plaga (f)
plain-winged antshrike	batará alillano
plane	cepillo (m)
plane	plano (m)
planet	planeta (m)
plank	tablón (1), artículo (2)
plankton	plancton
plant	maquinaria (f), fábrica (f)
plant	planta (f)
plant	planta (f), mata (f)
plant	plantar, colocar
plant	plantar, sembrar
plantain	plátano macho (m) ("Mexico"), plátano (m) ("some countries")
plantation	plantación (f)
plasticity	plasticidad (f)
plate	chapar
plate	grabado (m)
plate	plato (m)
platinous	platinoso
platinum	platino (m)
platypus	ornitorrinco (m)
play	juego (m)
play	jugar
play	jugar a
play	tocar
player	jugador
playing card	baraja (f)
plea	súplica
pleasant	placentero (m), placentera (f)
please	gustar, agradar
please	por por favor, favor de
pleased to meet you	encantado ("said by a man"), encantada ("said by a woman")
pleasure	placer
plectrum	plectro (m)
plentiful	abundante °
plethora	plétora ("of": de)
pliers	alicates (m) (p)
ploop	popo, caca
plot	argumento (m)
plot	complot (m)
plot twist	cambio de dirección del diagrama
plover	chorlo (m), chorlito (m), chorlitejo (m)
pluck	desplumar
pluck	perseverancia (f)
plug	enchufe (m)
plug	tapón (m)
plum	ciruela (f)
plum	ciruelo (m)
plumage	plumaje
plumber	fontanero (m) ("Spain"), plomero (m) ("Latin America")
plumbing	cañería (f)
plumbing	fontanería (f), plomería (f)
plunge	zambullir (1,4)
pluperfect tense	pluscuamperfecto
plural	plural
plural	plural (m)
plus sign	signo más (m)
pneumoconiosis	pneumoconiosis
pochard	pato (m), porrón (m)
pocket	bolsillo (m)
pocket	embolsar
pod	Capsula de Escape
pod	Capullo
poem	poema, oda
poetry	poesía (f)
point	indicar
point	punta (f)
point	punto
point	punto
point	punto de encuentro
poison	veneno (m)
poisonous	tóxico (m), tóxica (f); venenoso (m), venenosa (f)
poker	atizador
poker	póker
polar bear	oso polar (m), oso blanco (m)
pole	palo (m), garrocha (f)
pole	polo (m)
pole vault	salto con garrocha (m)
